Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz

Neural network: 1

	 10000, 0.981500030

Neural network: intermediate
Final accuracy: 0.981500030
Time taken    : 0:00:21.078320
Extracting /tmp/tensorflow/mnist/input_data/train-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/train-labels-idx1-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-images-idx3-ubyte.gz
Extracting /tmp/tensorflow/mnist/input_data/t10k-labels-idx1-ubyte.gz

Neural network: 3

	     t, accuracy
	     0, 0.161300004
	   100, 0.971300006
	   200, 0.984300017
	   300, 0.986400008
	   400, 0.988900006
	   500, 0.989000022
	   600, 0.989499986
	   700, 0.990700006
	   800, 0.992100000
	   900, 0.990599990
	  1000, 0.991900027
	  1100, 0.991299987
	  1200, 0.992500007
	  1300, 0.992100000
	  1400, 0.992399991
	  1500, 0.992200017
	  1600, 0.992299974
	  1700, 0.992399991
	  1800, 0.992999971
	  1900, 0.992999971
	  2000, 0.992799997
	  2100, 0.993200004
	  2200, 0.992900014
	  2300, 0.992100000
	  2400, 0.993099988
	  2500, 0.993499994
	  2600, 0.993300021
	  2700, 0.993300021
	  2800, 0.993799984
	  2900, 0.992200017
	  3000, 0.991900027
	  3100, 0.993600011
	  3200, 0.993799984
	  3300, 0.992399991
	  3400, 0.993499994
	  3500, 0.992999971
	  3600, 0.993200004
	  3700, 0.993700027
	  3800, 0.993799984
	  3900, 0.993099988
	  4000, 0.993300021
	  4100, 0.993200004
	  4200, 0.993799984
	  4300, 0.993900001
	  4400, 0.993900001
	  4500, 0.993499994
	  4600, 0.993700027
	  4700, 0.993799984
	  4800, 0.994400024
	  4900, 0.993099988
	  5000, 0.993300021
	  5100, 0.993900001
	  5200, 0.993600011
	  5300, 0.993399978
	  5400, 0.994400024
	  5500, 0.993099988
	  5600, 0.994400024
	  5700, 0.993200004
	  5800, 0.994300008
	  5900, 0.993700027
	  6000, 0.994199991
	  6100, 0.994300008
	  6200, 0.993499994
	  6300, 0.994499981
	  6400, 0.994300008
	  6500, 0.994099975
	  6600, 0.994000018
	  6700, 0.994899988
	  6800, 0.993900001
	  6900, 0.994199991
	  7000, 0.994099975
	  7100, 0.994099975
	  7200, 0.993499994
	  7300, 0.994799972
	  7400, 0.993799984
	  7500, 0.993900001
	  7600, 0.993200004
	  7700, 0.993300021
	  7800, 0.993700027
	  7900, 0.994000018
	  8000, 0.993700027
	  8100, 0.994300008
	  8200, 0.994199991
	  8300, 0.993399978
	  8400, 0.993300021
	  8500, 0.993499994
	  8600, 0.994000018
	  8700, 0.994000018
	  8800, 0.993799984
	  8900, 0.993700027
	  9000, 0.994000018
	  9100, 0.993700027
	  9200, 0.993600011
	  9300, 0.994099975
	  9400, 0.994300008
	  9500, 0.994099975
	  9600, 0.994599998
	  9700, 0.993399978
	  9800, 0.994000018
	  9900, 0.994400024
	 10000, 0.994300008

Neural network: advanced
Final accuracy: 0.994300008
Time taken    : 0:01:22.625443
